steam_volume,injection_pressure,soak_time,stroke_length,spm,vfd_frequency,predicted_oil_production,rod_floating_risk,impact_loading_risk,pump_unsetting_risk,combined_srp_risk,estimated_steam_oil_ratio,pump_load_indicator,optimization_score
887.9834256099064,18.565190127955525,40.09860662778307,55.05718577655613,7.97260175217763,30.944384115224384,12.689603960526643,0.1423857057199056,0.1245719506959824,0.23185694773350837,0.16627153471646547,69.97723714405453,1.3583006951671697,0.8525793113181698
1005.1181351289523,15.156258019688773,40.15845096972124,59.27909986748419,6.567265298057754,34.160007418932594,12.744201674336008,0.10657415191601056,0.15741398385006336,0.22561558873076024,0.16320124149894474,78.86866206402219,1.3298544705909905,0.8323492074958405
1077.6807307859751,21.359729198204946,40.38083580641246,46.282697741269324,8.187174595043043,32.81993484594342,12.90415148596463,0.19298399904895377,0.22753821005155833,0.2989887525544938,0.23983698721833532,83.51426530896889,1.2436278292178606,0.8222568555451859
888.6697080854082,20.965634441187298,39.982194760674,61.87111540574738,6.624475866735381,37.356672973737616,12.829221091374226,0.338938075283986,0.3403792276500951,0.38264220942777966,0.35398650412062027,69.26918647328547,1.5311144610152014,0.81271668820855
798.7069750419007,14.902684477704344,39.47275258000104,60.673164969115604,6.334735805131822,38.308311372019446,12.709827656302732,0.3860175916337969,0.385260998771963,0.4758497094088679,0.4157094332715426,62.841684139267336,1.4723740884825927,0.8114471369178478
1002.6106404154363,15.753320911208329,41.26443047499533,48.273125873337165,7.206553598030027,39.62354731488328,13.34679449561678,0.6031842296535366,0.545386287560386,0.7325005753404976,0.6270236975181401,75.11995788537116,1.378435331790359,0.794364227904619
1141.128385466772,15.478354142610607,38.115539095355444,49.70165003051533,6.626071015910105,33.762123801028046,12.44906281086745,0.10325998383037781,0.1472124874576791,0.19867119925615376,0.14971455684807022,91.66379853675573,1.111876755739798,0.7808555977560561
967.4458427108668,18.958900649233705,38.14469370840354,50.231137587840685,7.224379573522279,36.288134894169524,12.512592186524632,0.326419199063716,0.28495540910752637,0.45467437944411104,0.3553496625384511,77.3177794248543,1.3168557883632876,0.7705958088396568
750.6771924886228,18.471925000189525,39.038445798268945,63.25635900652572,7.1347050449860125,37.75461282420612,12.56628988193754,0.512027933976655,0.5048808789137506,0.5258761593677758,0.5142616574193938,59.737376707155775,1.7039240594752474,0.7669805410286034
826.1292910765305,15.84652805942074,40.480370815579796,48.97806697863848,7.358157525075411,43.541673067437685,13.257060578220756,0.8703878964503796,0.8522225108180443,0.8500229682178453,0.8575444584954232,62.31617380052783,1.569191093372692,0.7590251996952035
1010.4959198914853,16.35826623818258,39.25873660554831,48.45463567898663,6.04010508586349,44.12791888802604,13.230903371686804,0.7867058485356607,0.703991698275947,0.7650536802068862,0.7519170756728313,76.37391729833618,1.2914966182094665,0.7562886676362308
1076.7940833487028,15.459360301294325,39.618812833814644,60.27931513094297,8.28858458235896,31.921612087186862,12.555792839792606,0.15430074796269308,0.24974568311598688,0.29433183674189806,0.2327927559401927,85.76073985037883,1.5949001496228215,0.7554571807823389
884.4060172820649,20.844593188565945,34.93205954776547,50.87765111717307,6.431813939037935,35.25900898060361,11.800838934406041,0.16128930322140353,0.17847230484697033,0.28107087574566897,0.20694416127134763,74.94433422894427,1.1538002452887082,0.7529223276659697
1052.7894724712655,15.822110704677955,36.59352772282591,52.52126419584998,6.704012371415663,34.121717650556995,12.052713234221489,0.11758631509012335,0.1567050323022997,0.2066142676791208,0.1603018716905146,87.34875309918277,1.2014366142524373,0.7456851179964271
987.6328041194143,20.73353208151105,39.420760130128116,50.05680774715832,6.391571246625969,44.93379393167044,13.254968971534257,0.8146221079859728,0.7926887406540226,0.8529116529335121,0.8200741671911692,74.51038220009475,1.4376192310311697,0.7380914087750652
827.8652000300107,19.65916823489885,39.074409613309676,55.98846679458077,6.8779191403032645,44.12085226074309,12.949547063067893,0.8219904929606296,0.8544168763929978,0.8444765204724012,0.8402946299420094,63.930050680388824,1.6990240775507897,0.7171958477618909
